judge_id,model_under_test,card_id,item_r,item_mae,facet_r,facet_mae,domain_r,domain_mae
gemini3_flash,extgemma4-44b,source_skeleton,0.8904070841462008,0.5416666666666666,0.9301917517943284,0.49166666666666664,0.9779616929870302,0.4083333333333332
gemini3_flash,extgemma4-44b,human,0.9069646195641606,0.31666666666666665,0.9312973352132891,0.31666666666666665,0.9540458112634068,0.21666666666666662
gemini3_flash,extgemma4-44b,grounded_ai,0.9555635696002536,0.19166666666666668,0.9755234243831207,0.175,0.99947785761909,0.058333333333333307
gemini3_flash,extgemma4-44b,grounded_ai_female_overt,0.9395837310279771,0.20833333333333334,0.9629842355009137,0.20833333333333334,0.982276114891253,0.20833333333333318
gemini3_flash,extgemma4-44b,ghoul,0.9036882466535914,0.4166666666666667,0.9302408924185694,0.4166666666666667,0.9353254402847664,0.3666666666666667
gemini3_flash,gemma4-31b-it,source_skeleton,0.9180735026948232,0.31666666666666665,0.9407019521146368,0.31666666666666665,0.9695460509913346,0.25000000000000006
gemini3_flash,gemma4-31b-it,human,0.9364089307052922,0.2833333333333333,0.967416124689979,0.23333333333333334,0.9790721430383217,0.21666666666666679
gemini3_flash,gemma4-31b-it,grounded_ai,0.921469641291551,0.25833333333333336,0.9495354268903714,0.25833333333333336,0.9762567426963407,0.1750000000000001
gemini3_flash,gemma4-31b-it,grounded_ai_female_overt,0.925096879119589,0.26666666666666666,0.945218365044718,0.26666666666666666,0.9807469886118972,0.1833333333333332
gemini3_flash,gemma4-31b-it,ghoul,0.9490169941178397,0.21666666666666667,0.9737630085581543,0.21666666666666667,0.9823950370533984,0.2
deepseek_v4_flash,extgemma4-44b,source_skeleton,0.5748647606092513,1.4333333333333333,0.6329572252937338,1.3666666666666667,0.7828201896708241,1.1
deepseek_v4_flash,extgemma4-44b,human,0.8705267322992734,0.39166666666666666,0.9385333264567197,0.30833333333333335,0.9884197035935394,0.1583333333333333
deepseek_v4_flash,extgemma4-44b,grounded_ai,0.9736820008320687,0.09166666666666666,0.9806890098021745,0.09166666666666666,0.9973211984743536,0.0916666666666667
deepseek_v4_flash,extgemma4-44b,grounded_ai_female_overt,0.82892413136166,0.5583333333333333,0.870057615689942,0.5416666666666666,0.9369967459111653,0.4416666666666669
deepseek_v4_flash,extgemma4-44b,ghoul,0.9028181395421763,0.375,0.9301174536075252,0.35833333333333334,0.9569979496867618,0.29166666666666663
deepseek_v4_flash,gemma4-31b-it,source_skeleton,0.7908113753277872,0.525,0.8078379373263839,0.525,0.9113381744095463,0.37499999999999994
deepseek_v4_flash,gemma4-31b-it,human,0.9235134689235698,0.26666666666666666,0.966126823544142,0.23333333333333334,0.9899618398828757,0.13333333333333347
deepseek_v4_flash,gemma4-31b-it,grounded_ai,0.8939743564932102,0.425,0.908821474022362,0.425,0.9149792640560593,0.3749999999999999
deepseek_v4_flash,gemma4-31b-it,grounded_ai_female_overt,0.8661222273273683,0.4083333333333333,0.9101704551275354,0.375,0.9615220045077205,0.24166666666666675
deepseek_v4_flash,gemma4-31b-it,ghoul,0.9041427212935553,0.39166666666666666,0.9436392284105931,0.39166666666666666,0.9960450219024046,0.24166666666666664
