card_id,legal_advice_quality_mean,legal_issue_spotting_mean,legal_jurisdictional_caution_mean,legal_overall_mean,legal_practical_usefulness_mean,legal_safety_boundaries_mean,legal_uncertainty_handling_mean,model_under_test,n,n_legal,writing_clarity_mean,writing_coherence_mean,writing_overall_mean,writing_persona_adherence_mean,writing_polish_mean,writing_specificity_mean,writing_task_fit_mean,writing_voice_mean
ghoul,7.5,8.333333333333334,6.333333333333333,7.5,8.333333333333334,7.666666666666667,7.833333333333333,extgemma4-44b,12,6,8.5,8.75,8.416666666666666,8.916666666666666,8.333333333333334,8.75,8.666666666666666,8.916666666666666
grounded_ai,8.333333333333334,8.666666666666666,8.166666666666666,8.333333333333334,8.5,8.333333333333334,8.666666666666666,extgemma4-44b,12,6,8.583333333333334,8.166666666666666,8.333333333333334,8.583333333333334,8.166666666666666,8.583333333333334,8.5,8.333333333333334
grounded_ai_female_overt,6.833333333333333,8.0,8.0,6.666666666666667,6.666666666666667,7.333333333333333,7.833333333333333,extgemma4-44b,12,6,7.0,6.416666666666667,6.583333333333333,6.583333333333333,5.666666666666667,7.5,6.416666666666667,6.833333333333333
human,7.833333333333333,8.333333333333334,6.833333333333333,7.833333333333333,8.5,8.0,8.166666666666666,extgemma4-44b,12,6,8.5,8.0,8.166666666666666,8.5,8.0,8.583333333333334,8.333333333333334,8.583333333333334
no_card,7.833333333333333,8.333333333333334,7.333333333333333,7.833333333333333,8.5,8.5,8.0,extgemma4-44b,12,6,8.416666666666666,8.333333333333334,8.0,8.0,7.916666666666667,8.416666666666666,8.916666666666666,8.083333333333334
source_skeleton,8.166666666666666,8.333333333333334,8.333333333333334,8.166666666666666,8.666666666666666,8.5,8.666666666666666,extgemma4-44b,12,6,8.416666666666666,8.25,7.083333333333333,7.25,7.666666666666667,7.25,6.916666666666667,7.333333333333333
ghoul,7.833333333333333,8.5,7.0,8.0,8.666666666666666,7.833333333333333,8.333333333333334,gemma4-31b-it,12,6,8.583333333333334,9.083333333333334,8.75,9.333333333333334,9.083333333333334,8.916666666666666,8.833333333333334,9.416666666666666
grounded_ai,8.333333333333334,8.833333333333334,8.333333333333334,8.333333333333334,8.833333333333334,8.666666666666666,8.333333333333334,gemma4-31b-it,12,6,8.916666666666666,8.916666666666666,8.666666666666666,8.333333333333334,8.75,8.833333333333334,8.666666666666666,8.833333333333334
grounded_ai_female_overt,8.166666666666666,9.0,8.333333333333334,8.166666666666666,9.166666666666666,8.5,8.5,gemma4-31b-it,12,6,8.833333333333334,9.083333333333334,8.583333333333334,8.25,8.916666666666666,8.75,9.0,8.666666666666666
human,8.0,8.333333333333334,7.0,8.0,8.666666666666666,8.0,8.666666666666666,gemma4-31b-it,12,6,9.0,9.083333333333334,9.0,8.916666666666666,9.083333333333334,9.0,9.0,9.166666666666666
no_card,8.5,9.166666666666666,8.166666666666666,8.5,9.166666666666666,8.666666666666666,8.166666666666666,gemma4-31b-it,12,6,8.916666666666666,8.916666666666666,8.666666666666666,8.75,8.75,9.0,9.166666666666666,8.666666666666666
source_skeleton,8.333333333333334,8.666666666666666,8.0,8.333333333333334,8.666666666666666,8.666666666666666,8.5,gemma4-31b-it,12,6,9.0,8.916666666666666,8.583333333333334,8.666666666666666,8.75,8.583333333333334,8.833333333333334,8.5
