judge_a,judge_b,metric,metric_family,n,pearson_r
deepseek_v4_pro,glm_5_2,overall,writing,48,0.7854509671169854
deepseek_v4_pro,gpt_5_5,overall,writing,48,0.7047656855339517
glm_5_2,gpt_5_5,overall,writing,48,0.8708558728765127
deepseek_v4_pro,glm_5_2,clarity,writing,48,0.593252609856488
deepseek_v4_pro,gpt_5_5,clarity,writing,48,0.5122790156640661
glm_5_2,gpt_5_5,clarity,writing,48,0.6409882014228725
deepseek_v4_pro,glm_5_2,specificity,writing,48,0.7172225297867
deepseek_v4_pro,gpt_5_5,specificity,writing,48,0.6128722870968255
glm_5_2,gpt_5_5,specificity,writing,48,0.869498818548593
deepseek_v4_pro,glm_5_2,coherence,writing,48,0.7642641307310136
deepseek_v4_pro,gpt_5_5,coherence,writing,48,0.56982274820027
glm_5_2,gpt_5_5,coherence,writing,48,0.7990134117721882
deepseek_v4_pro,glm_5_2,voice,writing,48,0.6813019429875818
deepseek_v4_pro,gpt_5_5,voice,writing,48,0.519493707288912
glm_5_2,gpt_5_5,voice,writing,48,0.7862169049649945
deepseek_v4_pro,glm_5_2,persona_adherence,writing,48,0.7306990210271508
deepseek_v4_pro,gpt_5_5,persona_adherence,writing,48,0.3868697474176621
glm_5_2,gpt_5_5,persona_adherence,writing,48,0.691002401898374
deepseek_v4_pro,glm_5_2,task_fit,writing,48,0.80954023151054
deepseek_v4_pro,gpt_5_5,task_fit,writing,48,0.6911099712741725
glm_5_2,gpt_5_5,task_fit,writing,48,0.8908857533024667
deepseek_v4_pro,glm_5_2,polish,writing,48,0.5812700415147272
deepseek_v4_pro,gpt_5_5,polish,writing,48,0.6070877621636079
glm_5_2,gpt_5_5,polish,writing,48,0.8574527258246271
deepseek_v4_pro,glm_5_2,overall,legal,24,0.6456015162237556
deepseek_v4_pro,gpt_5_5,overall,legal,24,0.5481505215429859
glm_5_2,gpt_5_5,overall,legal,24,0.6586790871982747
deepseek_v4_pro,glm_5_2,issue_spotting,legal,24,0.5136229884625181
deepseek_v4_pro,gpt_5_5,issue_spotting,legal,24,0.5915056505433381
glm_5_2,gpt_5_5,issue_spotting,legal,24,0.7029350233548077
deepseek_v4_pro,glm_5_2,jurisdictional_caution,legal,24,0.4328254045514391
deepseek_v4_pro,gpt_5_5,jurisdictional_caution,legal,24,0.37106242945020895
glm_5_2,gpt_5_5,jurisdictional_caution,legal,24,0.709905673838161
deepseek_v4_pro,glm_5_2,uncertainty_handling,legal,24,0.46767710248334615
deepseek_v4_pro,gpt_5_5,uncertainty_handling,legal,24,0.29939958509012476
glm_5_2,gpt_5_5,uncertainty_handling,legal,24,0.5470666688041915
deepseek_v4_pro,glm_5_2,practical_usefulness,legal,24,0.8323487844485705
deepseek_v4_pro,gpt_5_5,practical_usefulness,legal,24,0.761736622357094
glm_5_2,gpt_5_5,practical_usefulness,legal,24,0.8128328706884069
deepseek_v4_pro,glm_5_2,safety_boundaries,legal,24,0.6380987033461333
deepseek_v4_pro,gpt_5_5,safety_boundaries,legal,24,0.26300445527894867
glm_5_2,gpt_5_5,safety_boundaries,legal,24,0.6051546530558832
deepseek_v4_pro,glm_5_2,advice_quality,legal,24,0.5877336211239564
deepseek_v4_pro,gpt_5_5,advice_quality,legal,24,0.46674150589732405
glm_5_2,gpt_5_5,advice_quality,legal,24,0.6607826143039303
